name_of_wonder,city,country,latitude,longtitude
Great Pyramid of Giza                                                                               ,Giza Necropolis                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , Egypt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,29.97916667,31.13416667
Stonehenge                                                                                          ,Amesbury                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , United Kingdom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,51.17861111,-1.826111111
Lighthouse of Alexandria                                                                            , Alexandria                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , Egypt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,31.21388889,29.88555556
Hanging Gardens of Babylon                                                                          ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Iraq                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,33.5355,44.2475
Hagia Sophia                                                                                        ,Istanbul                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , Turkey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,41.008548,28.979938
Colossus of Rhodes                                                                                  ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Greece                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,36.4511,28.2278
Mausoleum at Halicarnassus                                                                          ,Bodrum                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , Turkey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,37.03777778,27.42416667
Statue of Zeus at Olympia                                                                           ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Greece                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,37.63777778,21.63
Temple of Artemis at Ephesus                                                                        ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Turkey                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,37.94972222,27.36388889
Golden Gate Bridge                                                                                  ,San Francisco                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,  United States                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,37.81972222,-122.4786111
CN Tower                                                                                            ,Toronto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Canada.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,43.6425,-78.61305556
Channel Tunnel                                                                                      ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,English Channel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,51.0125,1.5041
Delta Works (Zuiderzee Works)                                                                       ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Netherlands                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,51.65,3.72
Panama Canal                                                                                        ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Panama                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,9.08,-79.68
Empire State Building                                                                               ,New York                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , United States                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,40.74833333,-73.98555556
Itaipu Dam                                                                                          ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Brazil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,-24.59194444,-54.58888889
Catacombs of Kom el Shoqafa                                                                         ,Alexandria                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , Egypt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,31.178558,29.892954
Great Wall of China                                                                                 ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,China                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,40.67693,117.23193
Colosseum                                                                                           ,Rome                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Italy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,41.89,12.49222222
Chichen Itza                                                                                        ,Yucatán                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Mexico                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,20.68277778,-88.56861111
Leaning Tower of Pisa                                                                               ,Pisa PI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Italy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,43.72305556,10.39638889
Porcelain Tower of Nanjing                                                                          ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,China                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,32.08027778,118.73
Machu Picchu                                                                                        ,Cuzco Region                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , Peru                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,-12.83666667,-72.54555556
Christ the Redeemer (statue)                                                                        ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Brazil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,-21.04805556,-43.21055556
Petra                                                                                               ,Ma'an                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Jordan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,30.32861111,35.44194444
Taj Mahal                                                                                           ,Agra                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , India                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,27.175,78.04194444
Paricutin                                                                                           ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Mexico                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,19.49277778,-102.2508333
Grand Canyon                                                                                        ,Arizona                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , United States                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,36.1,-112.1
Aurora                                                                                              ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Poles                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,80.0,0.0
Guanabara Bay                                                                                       ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Brazil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,-21.20972222,-43.15555556
Victoria Falls                                                                                      ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Livingstone Zambia                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,-16.07555556,25.85666667
Mount Everest                                                                                       ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Nepal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,27.98805556,86.92527778
Great Barrier Reef                                                                                  ,Queensland                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , Australia                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,-17.71388889,147.7
Hoover Dam                                                                                          ,Nevada                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , United States                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,36.01555556,-114.7377778
Brooklyn Bridge                                                                                     ,New York                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , United States                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,40.70555556,-73.99638889
Bell Rock Lighthouse                                                                                ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,United Kingdom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,56.43416667,-2.387222222
SS Great Eastern                                                                                    ,London                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , England                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,51.48861111,-0.005555556
London sewerage system                                                                              ,London                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , England                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,51.50722222,-0.105833333
First Transcontinental Railroad                                                                     ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,United States                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,41.27638889,95.86666667
Maya civilization                                                                                   ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Mexico                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,20.68277778,-88.56861111
Papah?naumoku?kea Marine National Monument                                                          , Honolulu County                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,United States                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,25.7,-171.7333333
Polar ice cap                                                                                       ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Poles                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,89.9999,0.0
Old City (Jerusalem)                                                                                ,unknown                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Israel                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,31.77666667,35.23416667
Maasai Mara                                                                                         ,Narok County                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , Kenya                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,-0.51,35.14388889
Potala Palace                                                                                       ,Lhasa                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Tibet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,29.65777778,91.11694444
